Country,PEPFAR_2014,NNPTSigned_2014,NNPTDeposited_2014,NNPTSignedAndDeposited_2014,MaternalHealthAccessToCare_2014,TIPS_2013,ICAOMember_2014,UNESCOMember_2014,FAOMember_2014,OASMember_2014,UNGAMember_2014,OSCEMember_2014,OECDMember_2014,NATOMember_2014,EUMember_2014,AUMember_2014,UNHCRMember_2014,MLOIndex_2014,APECMember_2014,NAFTAMember_2014,WTOMember_2014,ASEANMember_2014,CBERAMember_2014,CAFTAMember_2014,TPIndex_2014,USAID-GlobalHealth_2014,USAID-DHRA_2014,USAID-WatSan_2014,USAID-CrisisConflict_2014,USAID-GenderWomen_2014,USAID-EnvClimate_2014,USAID-ScienceTech_2014,NIV_1997,NIV_1998,NIV_1999,NIV_2000,NIV_2001,NIV_2002,NIV_2003,NIV_2004,NIV_2005,NIV_2006,NIV_2007,NIV_2008,NIV_2009,NIV_2010,NIV_2011,NIV_2012,NIV_2013,ChildMort_2012,MalariaElim_2012,TBIncidence-100k_2012,TBDrugResistance-2012
Hungary,,X,X,2,Good,Tier 2,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,44051,40435,40975,42908,32982,20378,18410,18569,21499,23104,25531,27001,6980,5061,5458,5505,5271,6.2,0,18,1
Iceland,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,,,,7,,,Member,,,,1,,,,,,,,2111,2485,1944,1833,1899,1506,1526,1507,1491,1295,1354,1259,887,1181,1355,1380,1698,2.3,0,3.5,0
India,1,,,0,Poor,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1,1,1,1,1,1,1,1,249715,295220,331784,396853,416559,332546,336516,389398,378039,437687,653060,632871,499686,528286,554267,582098,684176,56.3,4,176,1
Indonesia,1,X,X,2,Poor,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2,1,,,1,1,,,78213,38837,50835,70299,68736,36395,31836,41421,55570,51825,44521,40498,42378,46052,62434,65520,69740,31,4,185,1
Iran,,X,X,2,Fair,Tier 3,Member,Member,Member,,Member,,,,,,Member,5,,,Observer,,,,1,,,,,,,,21164,23296,23362,24932,22749,13071,7486,9125,10805,11575,12442,12635,17518,19822,23864,25446,26091,17.6,2,21,1
Iraq,,X,X,2,Poor,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Observer,,,,1,1,,,1,,,,2467,2378,2395,2993,3546,2086,1355,2366,3418,3255,3132,3714,5020,5905,8096,10399,14529,34.4,0,45,0
Ireland,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,,,Member,,Member,7,,,Member,,,,1,,,,,,,,14573,16846,18811,20407,21074,16561,16991,13456,16763,15009,15389,16583,13342,14444,17752,18530,19460,4,0,8.6,1
Israel,,,,0,Excellent,Tier 1,Member,Member,Member,,Member,,Member,,,,Member,6,,,Member,,,,1,,,,,,,,129580,128338,129303,143297,147745,108892,102586,104115,118331,125018,163836,188440,135434,124142,137645,132854,129369,4.2,0,7.6,1
West Bank,,,,0,,,,,,,,,,,,,,0,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Gaza Strip,,,,0,,,,,,,,,,,,,,0,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
